index,model,crystal_name,Oxy_site_label,Oxy_site_index,Oxy_vacancy_formation_energy,Oxy_vacancy_formation_energy_pre,test_elements_numbers
33,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,20,5.411478320000137,5.165378570556641,2
34,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,21,5.411478320000137,5.165379524230957,2
35,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,22,5.411478320000137,5.165378570556641,2
36,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,23,5.411478320000137,5.165378570556641,2
37,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,34,5.411478320000137,5.165379047393799,2
38,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,35,5.411478320000137,5.165379047393799,2
39,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,36,5.411478320000137,5.165379047393799,2
40,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O2,37,5.411478320000137,5.165379047393799,2
41,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O3,24,3.8145812599999633,5.129980564117432,2
42,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O3,25,3.8145812599999633,5.129980564117432,2
43,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O3,38,3.8145812599999633,5.129980564117432,2
44,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O3,39,3.8145812599999633,5.129980087280273,2
45,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,26,4.388867460000151,5.186862945556641,2
46,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,27,4.388867460000151,5.186862468719482,2
47,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,28,4.388867460000151,5.186862945556641,2
48,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,29,4.388867460000151,5.186862945556641,2
49,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,40,4.388867460000151,5.186862468719482,2
50,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,41,4.388867460000151,5.186862468719482,2
51,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,42,4.388867460000151,5.186862468719482,2
52,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2Ge2O7,O4,43,4.388867460000151,5.186862468719482,2
53,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O1,12,6.395135430000105,5.6148834228515625,2
54,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O1,13,6.395135430000105,5.614883899688721,2
55,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O1,20,6.395135430000105,5.6148834228515625,2
56,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O1,21,6.395135430000105,5.614883899688721,2
57,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O2,14,6.474721879999729,5.446040153503418,2
58,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O2,15,6.474721879999729,5.446040153503418,2
59,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O2,22,6.474721879999729,5.446040630340576,2
60,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O2,23,6.474721879999729,5.446040153503418,2
61,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,16,6.624809989999799,5.444986820220947,2
62,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,17,6.624809989999799,5.444986820220947,2
63,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,18,6.624809989999799,5.444986820220947,2
64,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,19,6.624809989999799,5.444986820220947,2
65,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,24,6.624809989999799,5.444986820220947,2
66,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,25,6.624809989999799,5.444986820220947,2
67,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,26,6.624809989999799,5.444986820220947,2
68,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2PbO4,O3,27,6.624809989999799,5.444986820220947,2
69,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,24,6.6551131699997175,7.243000507354736,2
70,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,25,6.6551131699997175,7.243000507354736,2
71,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,26,6.6551131699997175,7.243000507354736,2
72,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,27,6.6551131699997175,7.243000507354736,2
73,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,28,6.6551131699997175,7.243001461029053,2
74,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,29,6.6551131699997175,7.243000507354736,2
75,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,30,6.6551131699997175,7.243001461029053,2
76,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,31,6.6551131699997175,7.2430009841918945,2
77,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,32,6.6551131699997175,7.243000507354736,2
78,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,33,6.6551131699997175,7.243000507354736,2
79,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,34,6.6551131699997175,7.243000507354736,2
80,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,35,6.6551131699997175,7.243000507354736,2
81,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,36,6.6551131699997175,7.243000507354736,2
82,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,37,6.6551131699997175,7.243000507354736,2
83,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,38,6.6551131699997175,7.243000507354736,2
84,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,39,6.6551131699997175,7.243000030517578,2
85,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,40,6.6551131699997175,7.243000030517578,2
86,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,41,6.6551131699997175,7.243000507354736,2
87,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,42,6.6551131699997175,7.243000030517578,2
88,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,43,6.6551131699997175,7.243000030517578,2
89,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,44,6.6551131699997175,7.243000030517578,2
90,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,45,6.6551131699997175,7.243000507354736,2
91,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,46,6.6551131699997175,7.243000507354736,2
92,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,47,6.6551131699997175,7.243000030517578,2
93,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,48,6.6551131699997175,7.243000030517578,2
94,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,49,6.6551131699997175,7.243000507354736,2
95,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,50,6.6551131699997175,7.243000507354736,2
96,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,51,6.6551131699997175,7.243000507354736,2
97,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,52,6.6551131699997175,7.243000507354736,2
98,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,53,6.6551131699997175,7.243000030517578,2
99,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,54,6.6551131699997175,7.243000507354736,2
100,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al2ZnO4,O1,55,6.6551131699997175,7.243000030517578,2
101,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O1,12,5.484838260000183,5.290489196777344,2
102,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O1,13,5.484838260000183,5.290489196777344,2
103,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O1,14,5.484838260000183,5.290489196777344,2
104,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O1,15,5.484838260000183,5.290489196777344,2
105,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O2,16,7.171021660000301,5.090951919555664,2
106,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O2,17,7.171021660000301,5.090951919555664,2
107,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O2,18,7.171021660000301,5.090951919555664,2
108,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O2,19,7.171021660000301,5.090951919555664,2
109,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,20,5.552068420000419,5.293606281280518,2
110,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,21,5.552068420000419,5.293606758117676,2
111,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,22,5.552068420000419,5.293606758117676,2
112,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,23,5.552068420000419,5.293606758117676,2
113,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,26,5.552068420000419,5.293606758117676,2
114,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,27,5.552068420000419,5.293606758117676,2
115,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,28,5.552068420000419,5.293606281280518,2
116,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O3,29,5.552068420000419,5.293606758117676,2
117,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O4,24,6.636335620000304,5.077084541320801,2
118,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,Al4Bi2O9,O4,25,6.636335620000304,5.077085018157959,2
119,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAgO2,O1,4,5.391392969999979,1.6353925466537476,2
120,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAgO2,O1,5,5.391392969999979,1.6353925466537476,2
121,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAgO2,O1,6,5.391392969999979,1.6353929042816162,2
122,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAgO2,O1,7,5.391392969999979,1.6353925466537476,2
123,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,4,3.7700192500000274,3.5580320358276367,2
124,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,5,3.7700192500000274,3.558032274246216,2
125,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,6,3.7700192500000274,3.5580320358276367,2
126,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,7,3.7700192500000274,3.558032274246216,2
127,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,8,3.7700192500000274,3.5580317974090576,2
128,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,9,3.7700192500000274,3.5580317974090576,2
129,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,10,3.7700192500000274,3.5580317974090576,2
130,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlAsO4,O1,11,3.7700192500000274,3.558032274246216,2
131,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,6,6.51019906,6.397709846496582,2
132,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,7,6.51019906,6.397709846496582,2
133,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,8,6.51019906,6.397709846496582,2
134,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,9,6.51019906,6.397709369659424,2
135,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,10,6.51019906,6.397708892822266,2
136,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlCuO2,O1,11,6.51019906,6.397708892822266,2
137,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O1,4,4.638389600000105,5.12129020690918,2
138,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O1,7,4.638389600000105,5.12129020690918,2
139,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O1,8,4.638389600000105,5.12129020690918,2
140,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O1,11,4.638389600000105,5.12129020690918,2
141,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O2,5,4.367477630000062,5.53863525390625,2
142,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O2,6,4.367477630000062,5.53863525390625,2
143,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O2,9,4.367477630000062,5.53863525390625,2
144,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,AlSbO4,O2,10,4.367477630000062,5.53863525390625,2
145,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O1,10,2.7753270799997924,2.763556480407715,2
146,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O1,11,2.7753270799997924,2.763556480407715,2
147,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O1,12,2.7753270799997924,2.763556957244873,2
148,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O1,13,2.7753270799997924,2.763556957244873,2
149,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O2,14,3.171433119999969,2.7611823081970215,2
150,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O2,15,3.171433119999969,2.7611827850341797,2
151,.\result_GPU\split_by_elements_numbers\1\trainloss0.48145709119641217_testmaeloss1.3781289712146476_modeldict.pth,As2Pb3O8,O2,16,3.171433119999969,2.7611823081970215,2
